Designator,Mid X,Mid Y,Rotation,Layer
C1,135.90397,-78.55204,270.0,top
C10,142.56161,-107.77982,0.0,top
C11,142.56258,-104.58069,0.0,top
C12,129.44221,-79.63535,180.0,top
C13,126.57963,-85.8774,90.0,top
C14,126.53264,-81.88833,90.0,top
C15,114.05108,-96.94164,180.0,top
C16,116.67617,-73.152,225.0,top
C17,147.08632,-78.16596,0.0,top
C18,147.02917,-97.84588,0.0,top
C2,138.06424,-81.40319,180.0,top
C3,142.66545,-79.56423,0.0,top
C4,142.45971,-77.8002,0.0,top
C5,145.53692,-76.63307,180.0,top
C6,125.90907,-75.42784,90.0,top
C7,124.37618,-75.43546,90.0,top
C8,125.18644,-78.12913,0.0,top
C9,144.89049,-107.31246,90.0,top
D1,131.12242,-76.05649,180.0,top
D2,114.63655,-100.28682,135.0,top
D3,115.48872,-71.85533,225.0,top
D4,148.26107,-74.94397,270.0,top
D5,147.02409,-100.51034,45.0,top
IC1,140.36167,-71.37527,90.0,top
J1,131.57073,-68.12407,180.0,top
J2,112.7125,-104.50576,315.0,top
J3,148.96503,-85.54085,270.0,top
J4,149.25421,-104.41305,45.0,top
J5,112.69726,-68.50253,225.0,top
J6,149.10054,-68.44284,135.0,top
J8,118.35892,-87.31377,0.0,top
J9,143.30299,-87.34171,0.0,top
LED1,144.75841,-64.88684,0.0,top
LED2,138.53668,-64.89827,180.0,top
LED3,138.54716,-66.51371,180.0,top
LED4,109.48162,-89.18353,90.0,top
LED5,109.51464,-86.09997,90.0,top
LED6,109.49559,-82.41284,90.0,top
R1,138.07313,-82.91957,0.0,top
R10,142.57782,-106.11231,180.0,top
R11,121.71426,-87.2363,180.0,top
R12,135.97763,-85.09635,0.0,top
R13,132.48894,-79.6417,180.0,top
R14,135.97763,-86.63432,0.0,top
R15,111.08055,-89.154,270.0,top
R16,111.08055,-86.05393,270.0,top
R17,111.07293,-82.423,270.0,top
R18,110.34522,-94.88805,0.0,top
R19,111.20628,-78.38694,180.0,top
R2,119.74195,-69.36486,180.0,top
R20,151.08428,-78.04785,180.0,top
R21,147.84451,-91.82989,0.0,top
R3,141.62278,-64.89573,0.0,top
R4,141.6304,-66.51117,0.0,top
R5,119.74322,-74.06894,0.0,top
R6,122.04827,-74.82586,90.0,top
R7,119.76481,-75.61834,180.0,top
R8,122.05081,-83.78952,0.0,top
R9,122.04954,-85.30971,0.0,top
Rprog1,139.28217,-75.93203,180.0,top
SW1,121.14911,-66.14811,180.0,top
T1,110.41126,-97.77222,270.0,top
T2,111.32947,-75.59294,90.0,top
T3,151.16937,-75.22464,90.0,top
T4,147.80768,-94.79661,270.0,top
U1,144.06118,-70.56755,90.0,top
U2,145.2245,-73.86066,0.0,top
U3,138.85037,-78.7654,0.0,top
U4,143.63573,-82.85607,180.0,top
U5,143.63573,-84.37626,0.0,top
U6,120.27916,-79.66456,180.0,top
U7,115.45189,-84.02447,0.0,top
U8,130.92811,-99.10145,180.0,top
U9,130.96094,-83.93542,180.0,top
